beta	T	source	E_per_site	dE_per_site	doublon	dDoublon	Szz_pi_pi	dSzz_pi_pi	Sperp_pi_pi	dSperp_pi_pi	DeltaSU2_pi_pi	dDeltaSU2_pi_pi	Delta_z
4	0.25	b4_sa	-0.803954	0.00010375	0.12586001	0.000019	0.64463227726849781	0.00074128833077729704	1.2848682682592734	0.0022385408825593076	-0.0021981431388612242	0.0014329493798674144	1.533999155688675
24	0.041666666666666664	b24_sa_sb_weighted	-0.852099600770873	0.00015596855126662	0.115075012451994	0.0000366880337009085	0.909932012750704	0.00143407548861107	1.80942144960314	0.00407160709725837	-0.00522308131082297	0.00280068282899132	1.8649314
