# lattice=chain n=6 U=4 mu=2 dtau=0.1 bipartite=1
# T  E_hub dE_hub  E_gc dE_gc  E_ph dE_ph  ntot dN  doublon dD  sign
2 1.0361415 0.0101 -10.963858 0.0101 -4.9638585 0.0101 6 0 0.14780404 0.00053 1
1.66667 0.42503683 0.00755 -11.574963 0.00755 -5.5749632 0.00755 6 0 0.13612151 0.0003 1
1.42857 -0.086130022 0.00979 -12.08613 0.00979 -6.08613 0.00979 6 0 0.12672081 0.00044 1
1.25 -0.48251961 0.00946 -12.48252 0.00946 -6.4825196 0.00946 6 0 0.11965067 0.0004 1
1.11111 -0.84764662 0.00949 -12.847647 0.00949 -6.8476466 0.00949 6 0 0.11362009 0.00043 1
1 -1.1169233 0.0108 -13.116923 0.0108 -7.1169233 0.0108 6 0 0.10883057 0.00036 1
0.833333 -1.5794746 0.0117 -13.579475 0.0117 -7.5794746 0.0117 6 0 0.10402222 0.00028 1
0.714286 -1.9245897 0.0148 -13.92459 0.0148 -7.9245897 0.0148 6 0 0.10051938 0.00039 1
0.625 -2.1857996 0.0146 -14.1858 0.0146 -8.1857996 0.0146 6 0 0.098195889 0.00043 1
0.555556 -2.4149076 0.0149 -14.414908 0.0149 -8.4149076 0.0149 6 0 0.097604943 0.00039 1
0.5 -2.6296621 0.0154 -14.629662 0.0154 -8.6296621 0.0154 6 0 0.098147721 0.00049 1
0.416667 -2.8977079 0.0164 -14.897708 0.0164 -8.8977079 0.0164 6 0 0.098130444 0.00052 1
0.357143 -3.1775958 0.0176 -15.177596 0.0176 -9.1775958 0.0176 6 0 0.099957094 0.00045 1
0.3125 -3.348405 0.0201 -15.348405 0.0201 -9.348405 0.0201 6 0 0.10211422 0.00052 1
0.277778 -3.4795815 0.0155 -15.479582 0.0155 -9.4795815 0.0155 6 0 0.10338053 0.00041 1
0.25 -3.5731374 0.0225 -15.573137 0.0225 -9.5731374 0.0225 6 0 0.1048331 0.00056 1
0.208333 -3.6391113 0.0227 -15.639111 0.0227 -9.6391113 0.0227 6 0 0.10510743 0.00059 1
0.178571 -3.6879332 0.0217 -15.687933 0.0217 -9.6879332 0.0217 6 0 0.10579129 0.00052 1
0.15625 -3.7421965 0.019 -15.742197 0.019 -9.7421965 0.019 6 0 0.10728899 0.00054 1
0.138889 -3.7777821 0.0165 -15.777782 0.0165 -9.7777821 0.0165 6 2.8e-15 0.10831144 0.00051 1
0.125 -3.7589686 0.0231 -15.758969 0.0231 -9.7589686 0.0231 6 1.5e-15 0.10688197 0.00063 1
0.111111 -3.7660936 0.0178 -15.766094 0.0178 -9.7660936 0.0178 6 0 0.10887864 0.00052 1
0.1 -3.7578173 0.022 -15.757817 0.022 -9.7578173 0.022 6 0 0.1082765 0.00053 1
0.0909091 -3.7952346 0.0176 -15.795235 0.0176 -9.7952346 0.0176 6 2.5e-15 0.10869299 0.00054 1
0.0833333 -3.7603466 0.0205 -15.760347 0.0205 -9.7603466 0.0205 6 8.8e-16 0.10755801 0.00055 1
