# lattice=chain n=6 U=4 mu=2 dtau=0.05 bipartite=1
# T  E_hub dE_hub  E_gc dE_gc  E_ph dE_ph  ntot dN  doublon dD  sign
2 1.0499053 0.0067 -10.950095 0.0067 -4.9500947 0.0067 6 0 0.14817601 0.00042 1
1.66667 0.44312939 0.00768 -11.556871 0.00768 -5.5568706 0.00768 6 0 0.13618417 0.00041 1
1.42857 -0.048337429 0.00812 -12.048337 0.00812 -6.0483374 0.00812 6 0 0.12693209 0.00037 1
1.25 -0.44144178 0.00951 -12.441442 0.00951 -6.4414418 0.00951 6 0 0.12017422 0.00032 1
1.11111 -0.78569949 0.00867 -12.785699 0.00867 -6.7856995 0.00867 6 0 0.11434473 0.00035 1
1 -1.0727189 0.0108 -13.072719 0.0108 -7.0727189 0.0108 6 0 0.11030729 0.00034 1
0.833333 -1.5298149 0.0133 -13.529815 0.0133 -7.5298149 0.0133 6 0 0.1040723 0.0003 1
0.714286 -1.8642237 0.0135 -13.864224 0.0135 -7.8642237 0.0135 6 0 0.10120201 0.00033 1
0.625 -2.1249128 0.0134 -14.124913 0.0134 -8.1249128 0.0134 6 0 0.099877945 0.00036 1
0.555556 -2.3383121 0.0191 -14.338312 0.0191 -8.3383121 0.0191 6 0 0.098717996 0.00044 1
0.5 -2.5379322 0.015 -14.537932 0.015 -8.5379322 0.015 6 0 0.099572161 0.00048 1
0.416667 -2.8729276 0.0198 -14.872928 0.0198 -8.8729276 0.0198 6 0 0.10051041 0.00049 1
0.357143 -3.1365392 0.0161 -15.136539 0.0161 -9.1365392 0.0161 6 0 0.10201252 0.00051 1
0.3125 -3.2913675 0.0196 -15.291367 0.0196 -9.2913675 0.0196 6 0 0.10314355 0.0005 1
0.277778 -3.4001338 0.0171 -15.400134 0.0171 -9.4001338 0.0171 6 0 0.10489564 0.00047 1
0.25 -3.5008195 0.019 -15.500819 0.019 -9.5008195 0.019 6 0 0.10612492 0.00048 1
0.208333 -3.6116808 0.0159 -15.611681 0.0159 -9.6116808 0.0159 6 1.2e-15 0.10829757 0.00049 1
0.178571 -3.6269848 0.02 -15.626985 0.02 -9.6269848 0.02 6 0 0.10934075 0.00054 1
0.15625 -3.6823452 0.0196 -15.682345 0.0196 -9.6823452 0.0196 6 0 0.10941065 0.00053 1
0.138889 -3.7007823 0.0193 -15.700782 0.0193 -9.7007823 0.0193 6 0 0.11037622 0.00042 1
0.125 -3.6941855 0.0197 -15.694186 0.0197 -9.6941855 0.0197 6 8.8e-16 0.11044839 0.00048 1
0.111111 -3.6713243 0.0197 -15.671324 0.0197 -9.6713243 0.0197 6 0 0.11021546 0.00053 1
0.1 -3.6966313 0.0193 -15.696631 0.0193 -9.6966313 0.0193 6 8.8e-16 0.1108812 0.0005 1
0.0909091 -3.7161248 0.0206 -15.716125 0.0206 -9.7161248 0.0206 6 4.4e-15 0.11051607 0.00047 1
0.0833333 -3.6565603 0.0198 -15.65656 0.0198 -9.6565603 0.0198 6 0 0.1098398 0.00045 1
