# beta T ED_E_hub ED_doublon ED_ntot E_dtau0.2 dE_dtau0.2 E_dtau0.2_minus_ED E_dtau0.1 dE_dtau0.1 E_dtau0.1_minus_ED E_dtau0.05 dE_dtau0.05 E_dtau0.05_minus_ED E_extrap dE_extrap E_extrap_minus_ED E_slope_dtau2 D_dtau0.2 dD_dtau0.2 D_dtau0.2_minus_ED D_dtau0.1 dD_dtau0.1 D_dtau0.1_minus_ED D_dtau0.05 dD_dtau0.05 D_dtau0.05_minus_ED D_extrap dD_extrap D_extrap_minus_ED D_slope_dtau2
3.6 0.277777777778 -3.372238688 0.10530066878 6 -3.7765739 0.0185 -0.404335211997 -3.4795815 0.0155 -0.107342811997 -3.4001338 0.0171 -0.0278951119965 -3.37734791647 0.0140775568888 -0.00510922846825 -9.99678773473 0.096097478 0.00063 -0.00920319078 0.10338053 0.00041 -0.00192013878 0.10489564 0.00047 -0.000405028780003 0.105619877419 0.000387210402556 0.00031920863903 -0.236568509466
4 0.25 -3.46391481329 0.106627199392 6 -3.8597426 0.0189 -0.395827786713 -3.5731374 0.0225 -0.109222586713 -3.5008195 0.019 -0.0369046867128 -3.47710649214 0.0170275097017 -0.0131916788539 -9.56716998242 0.097227718 0.00058 -0.00939948139194 0.1048331 0.00056 -0.00179409939194 0.10612492 0.00048 -0.000502279391937 0.106915496858 0.000431105063305 0.000288297465826 -0.240466006173
4.8 0.208333333333 -3.57219934699 0.108548140639 6 -4.0068071 0.02 -0.434607753006 -3.6391113 0.0227 -0.0669119530059 -3.6116808 0.0159 -0.0394814530059 -3.56967664713 0.0150183155411 0.00252269986431 -10.7793776873 0.10047565 0.00047 -0.00807249063918 0.10510743 0.00059 -0.00344071063918 0.10829757 0.00049 -0.000250570639182 0.108176052159 0.000440790042834 -0.000372088480623 -0.196026794078
5.6 0.178571428571 -3.6228840061 0.10968231047 6 -4.0443009 0.017 -0.421416893904 -3.6879332 0.0217 -0.065049193904 -3.6269848 0.02 -0.00410079390399 -3.58887419934 0.0173828472786 0.034009806755 -11.341610485 0.09980884 0.00057 -0.00987347046968 0.10579129 0.00052 -0.00389102046968 0.10934075 0.00054 -0.000341560469678 0.109121496886 0.000453909011719 -0.000560813583275 -0.238495287338
6.4 0.15625 -3.64647197964 0.110315976583 6 -4.0158846 0.0219 -0.369412620358 -3.7421965 0.019 -0.0957245203577 -3.6823452 0.0196 -0.0358732203577 -3.6565889699 0.0165589134689 -0.0101169902623 -8.95612686657 0.10030811 0.00054 -0.0100078665826 0.10728899 0.00054 -0.00302698658258 0.10941065 0.00053 -0.000905326582581 0.10987046783 0.000453626526457 -0.000445508752836 -0.239967937993
7.2 0.138888888889 -3.65765151768 0.110661667249 6 -4.0672283 0.0201 -0.409576782316 -3.7777821 0.0165 -0.120130582316 -3.7007823 0.0193 -0.0431307823163 -3.67855349173 0.0155005010171 -0.0209019740509 -9.73109864364 0.10210158 0.00066 -0.00856008724909 0.10831144 0.00051 -0.00235022724909 0.11037622 0.00042 -0.000285447249089 0.110775939657 0.000385999376518 0.000114272407896 -0.219145394929
8 0.125 -3.66308970047 0.110848413301 6 -4.0864345 0.0225 -0.423344799532 -3.7589686 0.0231 -0.0958788995321 -3.6941855 0.0197 -0.0310957995321 -3.66250883414 0.0176809670997 0.000580866325668 -10.5550199648 0.10097444 0.00068 -0.00987397330088 0.10688197 0.00063 -0.00396644330088 0.11044839 0.00048 -0.000400023300876 0.11051438563 0.000446947717517 -0.000334027671213 -0.245365114628
9 0.111111111111 -3.6662391946 0.110965721885 6 -4.080141 0.0189 -0.413901805398 -3.7660936 0.0178 -0.0998544053985 -3.6713243 0.0197 -0.00508510539849 -3.65139547329 0.0161027488725 0.0148437213073 -10.7587228171 0.10208192 0.0005 -0.00888380188458 0.10887864 0.00052 -0.00208708188458 0.11021546 0.00053 -0.000750261884577 0.110906596088 0.000446433854034 -5.91257968195e-05 -0.219829464344
10 0.1 -3.667602074 0.111019732203 6 -4.0916459 0.0191 -0.424043826002 -3.7578173 0.022 -0.090215226002 -3.6966313 0.0193 -0.029029226002 -3.662730243 0.0171027877771 0.00487183099436 -10.6787943146 0.10116258 0.00043 -0.00985715220267 0.1082765 0.00053 -0.00274323220267 0.1108812 0.0005 -0.00013853220267 0.11121820028 0.000431368548926 0.000198468077502 -0.252753607081
11 0.0909090909091 -3.66820588189 0.111044609281 6 -4.0709338 0.0206 -0.402727918112 -3.7952346 0.0176 -0.127028718112 -3.7161248 0.0206 -0.0479189181118 -3.6973251793 0.0165028709988 -0.0291192974113 -9.36911023556 0.10207104 0.00062 -0.00897356928075 0.10869299 0.00054 -0.00235161928075 0.11051607 0.00047 -0.000528539280749 0.111024235724 0.000421951132796 -2.03735563178e-05 -0.224404642923
12 0.0833333333333 -3.66847767671 0.111056078309 6 -4.0680565 0.0174 -0.399578823285 -3.7603466 0.0205 -0.0918689232855 -3.6565603 0.0198 0.0119173767145 -3.63952076992 0.0169567458979 0.0289569067966 -10.7609985938 0.10136245 0.00057 -0.0096936283088 0.10755801 0.00055 -0.0034980683088 0.1098398 0.00045 -0.0012162783088 0.110183035648 0.000409974607048 -0.000873042660882 -0.222654576942
