observable	canary_value	canary_error	long_value	long_error	long_minus_canary	z_long_vs_canary	ED_value	long_minus_ED	z_long_vs_ED
E_per_site	-0.849992	0.0006125	-0.852146	0.00021125	-0.002154	-3.3245539	-0.8513659263226477	-0.000780073677352	-3.6926565
doublon	0.11575203	0.00011	0.11508009	0.00005	-0.00067194	-5.561015	0.11512556065	-0.00004547065	-0.909413
Szz_pi_pi	0.84727167481068966	0.0069640233419274123	0.9103810401938851	0.0020841045337037954	0.0631093653832	8.6817612	0.9118832201411449	-0.00150217994726	-0.72077956
Sperp_pi_pi	1.8343473711390041	0.019912252515730249	1.8084224268664326	0.0055936183490825457	-0.0259249442726	-1.2534423	1.8237664402822897	-0.0153440134159	-2.7431284
DeltaSU2_pi_pi	0.069902010758813096	0.013810876940794949	-0.0061698267606680422	0.003938445100412781	-0.0760718375195	-5.2969414	0	-0.0061698267606680422	-1.5665641
