observable	sa_value	sa_error	sb_value	sb_error	sb_minus_sa	seed_z_pi_or_scalar	max_allq_seed_z	max_q_mx_my	nq_seed_z_gt3	weighted_value	weighted_error	reference	weighted_minus_reference	weighted_z_reference
E_per_site	-0.852146	0.00021125	-0.852044	0.00023125	0.000102	0.32565575	NA	NA	NA	-0.852099600770873	0.00015596855126662	-0.8513659263226477	-0.000733674448225	-4.7039896
doublon	0.11508009	0.00005	0.11506909	0.000054	-0.000011	0.14946977	NA	NA	NA	0.115075012451994	0.0000366880337009085	0.11512556065	-0.0000505481980059	-1.3777843
Szz_pi_pi	0.9103810401938851	0.0020841045337037954	0.90952821295996378	0.0019763602062283108	-0.000852827233921	0.29692548	1.4121537	3:1	0	0.909932012750704	0.00143407548861107	0.9118832201411449	-0.00195120739044	-1.360603
Sperp_pi_pi	1.8084224268664326	0.0055936183490825457	1.8105472910846829	0.0059380488785356622	0.00212486421825	0.26047164	1.0372507	1:3	0	1.80942144960314	0.00407160709725837	1.8237664402822897	-0.0143449906791	-3.5231766
DeltaSU2_pi_pi	-0.0061698267606680422	0.003938445100412781	-0.0042545674176236127	0.0039834659594423201	0.00191525934304	0.34190513	1.2413884	1:3	0	-0.00522308131082297	0.00280068282899132	0	-0.00522308131082	-1.8649314
